,Ticker,ARIMA_MAE,ARIMA_MSE,ARIMA_RMSE,ARIMA_R2,RF_MAE,RF_MSE,RF_RMSE,RF_R2,Winner
0,000001.SS,131.3664199586001,21092.84098767629,145.23374603609275,-0.8632763568097337,320.0236906312004,157415.57747735453,396.7563200219431,-12.905605407942636,ARIMA
1,1592.T,210.59953716158805,51329.66507168363,226.56051083912138,-3.6832052076919686,640.814603174603,426585.1887349206,653.1348932149626,-37.92068990938603,ARIMA
2,399001.SZ,519.0240895093378,332941.0856013451,577.0104726964192,-1.2883914100451386,3220.6398696366564,12394140.119514804,3520.531226891022,-84.18817595961764,ARIMA
3,^BSESN,1044.6350329935703,1528862.8944044507,1236.4719545563703,0.42910938389678444,16678.101694568457,291119372.6770585,17062.220625611968,-107.70648940167239,ARIMA
4,^IXIC,938.6127371515839,1225544.6759965082,1107.0432132471199,-1.1499306616798246,2990.0857621837804,12012387.24613655,3465.8890989378974,-20.072915713530644,ARIMA
5,^N100,67.34713520467919,5903.147054150166,76.83194032529808,-1.0168930194329686,225.66687121194502,62743.96460305328,250.48745398333483,-20.437355881297055,ARIMA
6,^NSEI,258.77242905992,99573.86035847088,315.55326073179924,0.6580080402546187,5319.512096044146,29580916.14902485,5438.834079931548,-100.59730122392699,ARIMA
7,^NYA,625.9665230460945,517631.8496215658,719.4663644824307,-1.051903334574988,1602.2718239242315,3536776.665270423,1880.631985602293,-13.019855691687017,ARIMA
