Date,Ticker,Forecast
2024-01-01,^NYA,17231.08271484375
2024-01-01,^IXIC,15671.949931640625
2024-01-01,^N100,1373.5639343261719
2024-01-01,000001.SS,3618.6639306640627
2024-01-01,1592.T,1645.45
2024-01-01,399001.SZ,14778.655224609374
2024-01-01,^NSEI,17691.24705078125
2024-01-01,^BSESN,59418.2772265625
2024-01-02,^NYA,17271.8159375
2024-01-02,^IXIC,15613.7408203125
2024-01-02,^N100,1376.897716064453
2024-01-02,000001.SS,3616.338737792969
2024-01-02,1592.T,1659.56
2024-01-02,399001.SZ,14760.8244140625
2024-01-02,^NSEI,17735.31171875
2024-01-02,^BSESN,59564.800859375
2024-01-03,^NYA,17243.43068359375
2024-01-03,^IXIC,15597.00412109375
2024-01-03,^N100,1378.6805102539063
2024-01-03,000001.SS,3616.558029785156
2024-01-03,1592.T,1673.2
2024-01-03,399001.SZ,14718.742451171875
2024-01-03,^NSEI,17780.8552734375
2024-01-03,^BSESN,59660.87953125
2024-01-04,^NYA,17228.71357421875
2024-01-04,^IXIC,15523.902119140625
2024-01-04,^N100,1381.2474951171876
2024-01-04,000001.SS,3612.937253417969
2024-01-04,1592.T,1682.6
2024-01-04,399001.SZ,14700.336845703125
2024-01-04,^NSEI,17794.36203125
2024-01-04,^BSESN,59713.640390625
2024-01-05,^NYA,17166.05162109375
2024-01-05,^IXIC,15180.947255859375
2024-01-05,^N100,1383.1362817382812
2024-01-05,000001.SS,3590.584738769531
2024-01-05,1592.T,1688.84
2024-01-05,399001.SZ,14549.106181640625
2024-01-05,^NSEI,17834.82939453125
2024-01-05,^BSESN,59811.902265625
2024-01-06,^NYA,17151.5741796875
2024-01-06,^IXIC,15039.538857421874
2024-01-06,^N100,1370.572510986328
2024-01-06,000001.SS,3584.508039550781
2024-01-06,1592.T,1695.85
2024-01-06,399001.SZ,14403.16333984375
2024-01-06,^NSEI,17821.076328125
2024-01-06,^BSESN,59735.2069921875
2024-01-07,^NYA,17153.42853515625
2024-01-07,^IXIC,14992.5258984375
2024-01-07,^N100,1366.4680151367188
2024-01-07,000001.SS,3583.148835449219
2024-01-07,1592.T,1682.54
2024-01-07,399001.SZ,14368.97818359375
2024-01-07,^NSEI,17823.21759765625
2024-01-07,^BSESN,59805.50171875
2024-01-08,^NYA,17153.9753515625
2024-01-08,^IXIC,15018.14560546875
2024-01-08,^N100,1353.7479956054688
2024-01-08,000001.SS,3592.3057153320315
2024-01-08,1592.T,1669.57
2024-01-08,399001.SZ,14405.933583984375
2024-01-08,^NSEI,17796.1743359375
2024-01-08,^BSESN,59846.5722265625
2024-01-09,^NYA,17182.57021484375
2024-01-09,^IXIC,15052.542099609374
2024-01-09,^N100,1351.4945043945313
